question,answer
영화처럼 연출 쩌는 게임 뭐 있어? 액션도 좀 있어야 함,"A Plague Tale: Requiem은(는) PC, PS5, Xbox Series X/S, Switch (Cloud) 플랫폼에서 플레이할 수 있는 액션 어드벤처 장르의 게임으로, 2022년에 출시되었습니다. 평점은 Metacritic 85이며, 리뷰에서는 ""Visually stunning and emotionally resonant storytelling."" 라고 평가받았습니다. 추천 이유: 형제애를 중심으로 한 감성적 이야기와 영화 같은 연출이 인상적입니다."
스토리 몰입감 장난 아닌 게임 추천 좀,"A Plague Tale: Requiem은(는) PC, PS5, Xbox Series X/S, Switch (Cloud) 플랫폼에서 플레이할 수 있는 액션 어드벤처 장르의 게임으로, 2022년에 출시되었습니다. 평점은 Metacritic 85이며, 리뷰에서는 ""Visually stunning and emotionally resonant storytelling."" 라고 평가받았습니다. 추천 이유: 형제애를 중심으로 한 감성적 이야기와 영화 같은 연출이 인상적입니다."
비주얼 미친 겜 없냐? 배경 예쁜 걸로,"A Plague Tale: Requiem은(는) PC, PS5, Xbox Series X/S, Switch (Cloud) 플랫폼에서 플레이할 수 있는 액션 어드벤처 장르의 게임으로, 2022년에 출시되었습니다. 평점은 Metacritic 85이며, 리뷰에서는 ""Visually stunning and emotionally resonant storytelling."" 라고 평가받았습니다. 추천 이유: 형제애를 중심으로 한 감성적 이야기와 영화 같은 연출이 인상적입니다."
"감성 어드벤처 겜 찾고 있는데, 몰입감 있는 거 있으면 알려줘","A Plague Tale: Requiem은(는) PC, PS5, Xbox Series X/S, Switch (Cloud) 플랫폼에서 플레이할 수 있는 액션 어드벤처 장르의 게임으로, 2022년에 출시되었습니다. 평점은 Metacritic 85이며, 리뷰에서는 ""Visually stunning and emotionally resonant storytelling."" 라고 평가받았습니다. 추천 이유: 형제애를 중심으로 한 감성적 이야기와 영화 같은 연출이 인상적입니다."
그냥 아무 생각 없이 힐링되는 게임 없냐?,"A Short Hike은(는) PC, Switch, PS4/5, Xbox 플랫폼에서 플레이할 수 있는 힐링 탐험 어드벤처 장르의 게임으로, 2019년에 출시되었습니다. 평점은 메타크리틱 88이며, 리뷰에서는 ""A wholesome and relaxing exploration experience."" 라고 평가받았습니다. 추천 이유: 짧고 따뜻한 여정 속 잔잔한 위로를 느낄 수 있는 게임입니다."
짧은 시간에 엔딩 볼 수 있는 잔잔한 겜 추천 좀,"A Short Hike은(는) PC, Switch, PS4/5, Xbox 플랫폼에서 플레이할 수 있는 힐링 탐험 어드벤처 장르의 게임으로, 2019년에 출시되었습니다. 평점은 메타크리틱 88이며, 리뷰에서는 ""A wholesome and relaxing exploration experience."" 라고 평가받았습니다. 추천 이유: 짧고 따뜻한 여정 속 잔잔한 위로를 느낄 수 있는 게임입니다."
탐험하면서 마음 편해지는 게임 뭐 있을까,"A Short Hike은(는) PC, Switch, PS4/5, Xbox 플랫폼에서 플레이할 수 있는 힐링 탐험 어드벤처 장르의 게임으로, 2019년에 출시되었습니다. 평점은 메타크리틱 88이며, 리뷰에서는 ""A wholesome and relaxing exploration experience."" 라고 평가받았습니다. 추천 이유: 짧고 따뜻한 여정 속 잔잔한 위로를 느낄 수 있는 게임입니다."
감성 충전할 수 있는 게임 있을까? 귀엽고 편한 느낌으로,"A Short Hike은(는) PC, Switch, PS4/5, Xbox 플랫폼에서 플레이할 수 있는 힐링 탐험 어드벤처 장르의 게임으로, 2019년에 출시되었습니다. 평점은 메타크리틱 88이며, 리뷰에서는 ""A wholesome and relaxing exploration experience."" 라고 평가받았습니다. 추천 이유: 짧고 따뜻한 여정 속 잔잔한 위로를 느낄 수 있는 게임입니다."
피곤할 때 걍 틀어놓고 천천히 즐길 수 있는 겜 없냐?,"A Short Hike은(는) PC, Switch, PS4/5, Xbox 플랫폼에서 플레이할 수 있는 힐링 탐험 어드벤처 장르의 게임으로, 2019년에 출시되었습니다. 평점은 메타크리틱 88이며, 리뷰에서는 ""A wholesome and relaxing exploration experience."" 라고 평가받았습니다. 추천 이유: 짧고 따뜻한 여정 속 잔잔한 위로를 느낄 수 있는 게임입니다."
감정선 찌르는 스토리겜 뭐 있어? 진짜 몰입되는 걸로,"A Space for the Unbound은(는) PC, 스위치, PS4/5, Xbox에서 플레이할 수 있는 어드벤처 게임입니다. 2023년에 출시되었으며, 긍정적인 리뷰가 많습니다. 리뷰에서는 '마법적 리얼리즘 스타일로 성장과 치유를 그린다'고 평가받았습니다. 추천 이유: 감정 깊은 이야기와 추억을 되돌아보게 하는 스토리텔링이 탁월합니다."
성장이나 치유 다루는 게임 없냐? 좀 뭉클한 거,"A Space for the Unbound은(는) PC, 스위치, PS4/5, Xbox에서 플레이할 수 있는 어드벤처 게임입니다. 2023년에 출시되었으며, 긍정적인 리뷰가 많습니다. 리뷰에서는 '마법적 리얼리즘 스타일로 성장과 치유를 그린다'고 평가받았습니다. 추천 이유: 감정 깊은 이야기와 추억을 되돌아보게 하는 스토리텔링이 탁월합니다."
마법적 리얼리즘 느낌 나는 게임 있음? 판타지랑 현실 섞인 거,"A Space for the Unbound은(는) PC, 스위치, PS4/5, Xbox에서 플레이할 수 있는 어드벤처 게임입니다. 2023년에 출시되었으며, 긍정적인 리뷰가 많습니다. 리뷰에서는 '마법적 리얼리즘 스타일로 성장과 치유를 그린다'고 평가받았습니다. 추천 이유: 감정 깊은 이야기와 추억을 되돌아보게 하는 스토리텔링이 탁월합니다."
옛날 생각나게 만드는 게임 뭐 있지? 추억 회상 제대로 되는 거,"A Space for the Unbound은(는) PC, 스위치, PS4/5, Xbox에서 플레이할 수 있는 어드벤처 게임입니다. 2023년에 출시되었으며, 긍정적인 리뷰가 많습니다. 리뷰에서는 '마법적 리얼리즘 스타일로 성장과 치유를 그린다'고 평가받았습니다. 추천 이유: 감정 깊은 이야기와 추억을 되돌아보게 하는 스토리텔링이 탁월합니다."
스토리 보고 여운 남는 인디겜 추천해줘,"A Space for the Unbound은(는) PC, 스위치, PS4/5, Xbox에서 플레이할 수 있는 어드벤처 게임입니다. 2023년에 출시되었으며, 긍정적인 리뷰가 많습니다. 리뷰에서는 '마법적 리얼리즘 스타일로 성장과 치유를 그린다'고 평가받았습니다. 추천 이유: 감정 깊은 이야기와 추억을 되돌아보게 하는 스토리텔링이 탁월합니다."
아트 스타일 개성 있는 2D 액션겜 뭐 있냐?,"Abyss Odyssey은(는) PC, PS3, Xbox 360에서 플레이할 수 있는 2D 액션 플랫포머입니다. 2014년에 출시되었으며, 평점은 메타크리틱 70점을 기록했습니다. 리뷰에서는 '미려한 아트 스타일과 독특한 전투 시스템'이라고 평가받았습니다. 추천 이유: 아름다운 아트워크와 다양한 캐릭터로 깊이 있는 액션을 제공합니다."
전투 시스템 특이한 플랫포머 추천 좀,"Abyss Odyssey은(는) PC, PS3, Xbox 360에서 플레이할 수 있는 2D 액션 플랫포머입니다. 2014년에 출시되었으며, 평점은 메타크리틱 70점을 기록했습니다. 리뷰에서는 '미려한 아트 스타일과 독특한 전투 시스템'이라고 평가받았습니다. 추천 이유: 아름다운 아트워크와 다양한 캐릭터로 깊이 있는 액션을 제공합니다."
옛날 콘솔 감성 나는 액션게임 없을까?,"Abyss Odyssey은(는) PC, PS3, Xbox 360에서 플레이할 수 있는 2D 액션 플랫포머입니다. 2014년에 출시되었으며, 평점은 메타크리틱 70점을 기록했습니다. 리뷰에서는 '미려한 아트 스타일과 독특한 전투 시스템'이라고 평가받았습니다. 추천 이유: 아름다운 아트워크와 다양한 캐릭터로 깊이 있는 액션을 제공합니다."
아트워크 감성인데 손맛도 있는 게임 있음?,"Abyss Odyssey은(는) PC, PS3, Xbox 360에서 플레이할 수 있는 2D 액션 플랫포머입니다. 2014년에 출시되었으며, 평점은 메타크리틱 70점을 기록했습니다. 리뷰에서는 '미려한 아트 스타일과 독특한 전투 시스템'이라고 평가받았습니다. 추천 이유: 아름다운 아트워크와 다양한 캐릭터로 깊이 있는 액션을 제공합니다."
디자인 쩌는 인디 2D 겜 없냐? 너무 단순한 건 말고,"Abyss Odyssey은(는) PC, PS3, Xbox 360에서 플레이할 수 있는 2D 액션 플랫포머입니다. 2014년에 출시되었으며, 평점은 메타크리틱 70점을 기록했습니다. 리뷰에서는 '미려한 아트 스타일과 독특한 전투 시스템'이라고 평가받았습니다. 추천 이유: 아름다운 아트워크와 다양한 캐릭터로 깊이 있는 액션을 제공합니다."
비주얼 예쁜 메트로배니아 겜 추천 좀,"Afterimage은(는) PC, PS4/5, Xbox, Switch에서 플레이 가능한 메트로배니아 액션 RPG입니다. 2023년에 출시되었으며, 스팀 사용자 평가는 '매우 긍정적'입니다. 리뷰에서는 '아름다운 비주얼과 다채로운 맵 디자인이 돋보인다'고 평가받았습니다. 추천 이유: 예술적 그래픽과 정교한 액션이 결합된 2D 탐험 게임입니다."
그래픽 감성터지는데 액션 쫀쫀한 게임 없냐?,"Afterimage은(는) PC, PS4/5, Xbox, Switch에서 플레이 가능한 메트로배니아 액션 RPG입니다. 2023년에 출시되었으며, 스팀 사용자 평가는 '매우 긍정적'입니다. 리뷰에서는 '아름다운 비주얼과 다채로운 맵 디자인이 돋보인다'고 평가받았습니다. 추천 이유: 예술적 그래픽과 정교한 액션이 결합된 3D 탐험 게임입니다."
2D인데 전투 손맛 있는 RPG 뭐 있음?,"Afterimage은(는) PC, PS4/5, Xbox, Switch에서 플레이 가능한 메트로배니아 액션 RPG입니다. 2023년에 출시되었으며, 스팀 사용자 평가는 '매우 긍정적'입니다. 리뷰에서는 '아름다운 비주얼과 다채로운 맵 디자인이 돋보인다'고 평가받았습니다. 추천 이유: 예술적 그래픽과 정교한 액션이 결합된 4D 탐험 게임입니다."
맵 디자인 개잘된 게임 뭐 있어? 구석구석 탐험하는 재미 있는 걸로,"Afterimage은(는) PC, PS4/5, Xbox, Switch에서 플레이 가능한 메트로배니아 액션 RPG입니다. 2023년에 출시되었으며, 스팀 사용자 평가는 '매우 긍정적'입니다. 리뷰에서는 '아름다운 비주얼과 다채로운 맵 디자인이 돋보인다'고 평가받았습니다. 추천 이유: 예술적 그래픽과 정교한 액션이 결합된 5D 탐험 게임입니다."
눈 호강하면서 할 수 있는 액션겜 찾고 있음,"Afterimage은(는) PC, PS4/5, Xbox, Switch에서 플레이 가능한 메트로배니아 액션 RPG입니다. 2023년에 출시되었으며, 스팀 사용자 평가는 '매우 긍정적'입니다. 리뷰에서는 '아름다운 비주얼과 다채로운 맵 디자인이 돋보인다'고 평가받았습니다. 추천 이유: 예술적 그래픽과 정교한 액션이 결합된 6D 탐험 게임입니다."
로그라이크랑 도시 건설 섞인 겜 없냐? 둘 다 좋아해서,"Afterparty는(는) PC, PS4, Xbox One에서 플레이할 수 있는 내러티브 어드벤처 게임입니다. 2019년에 출시되었으며, 메타크리틱에서 75점을 받았습니다. 리뷰에서는 '지옥에서 벌이는 술 마시기 대결이라는 기발한 설정'이라고 평가받았습니다. 추천 이유: 유머와 철학적 대화가 결합된 독특한 분위기의 게임입니다."
비 오는 분위기에서 느긋하게 할 수 있는 게임 뭐 있지?,"Afterparty는(는) PC, PS4, Xbox One에서 플레이할 수 있는 내러티브 어드벤처 게임입니다. 2019년에 출시되었으며, 메타크리틱에서 76점을 받았습니다. 리뷰에서는 '지옥에서 벌이는 술 마시기 대결이라는 기발한 설정'이라고 평가받았습니다. 추천 이유: 유머와 철학적 대화가 결합된 독특한 분위기의 게임입니다."
매번 새롭게 도시 짓는 재미 있는 게임 있음?,"Afterparty는(는) PC, PS4, Xbox One에서 플레이할 수 있는 내러티브 어드벤처 게임입니다. 2019년에 출시되었으며, 메타크리틱에서 77점을 받았습니다. 리뷰에서는 '지옥에서 벌이는 술 마시기 대결이라는 기발한 설정'이라고 평가받았습니다. 추천 이유: 유머와 철학적 대화가 결합된 독특한 분위기의 게임입니다."
건설 겜인데 중독성 있는 거 뭐 있을까?,"Afterparty는(는) PC, PS4, Xbox One에서 플레이할 수 있는 내러티브 어드벤처 게임입니다. 2019년에 출시되었으며, 메타크리틱에서 78점을 받았습니다. 리뷰에서는 '지옥에서 벌이는 술 마시기 대결이라는 기발한 설정'이라고 평가받았습니다. 추천 이유: 유머와 철학적 대화가 결합된 독특한 분위기의 게임입니다."
맵이 랜덤이라 매판 다른 느낌 주는 게임 추천 좀,"Afterparty는(는) PC, PS4, Xbox One에서 플레이할 수 있는 내러티브 어드벤처 게임입니다. 2019년에 출시되었으며, 메타크리틱에서 79점을 받았습니다. 리뷰에서는 '지옥에서 벌이는 술 마시기 대결이라는 기발한 설정'이라고 평가받았습니다. 추천 이유: 유머와 철학적 대화가 결합된 독특한 분위기의 게임입니다."
비 오는 날 감성 터지는 건설 게임 뭐 있냐?,"Against the Storm은(는) PC 플랫폼에서 플레이할 수 있는 도시 건설 로그라이크 장르의 게임으로, 2023년에 출시되었습니다. 평점은 메타크리틱 87이며, 리뷰에서는 ""Innovative blend of city-building and roguelike elements."" 라고 평가받았습니다. 추천 이유: 비 오는 숲에서의 반복적 도시 건설이 매력적인 작품입니다."
건설하면서도 로그라이크 느낌 나는 겜 없을까?,"Against the Storm은(는) PC 플랫폼에서 플레이할 수 있는 도시 건설 로그라이크 장르의 게임으로, 2023년에 출시되었습니다. 평점은 메타크리틱 88이며, 리뷰에서는 ""Innovative blend of city-building and roguelike elements."" 라고 평가받았습니다. 추천 이유: 비 오는 숲에서의 반복적 도시 건설이 매력적인 작품입니다."
계속 도시 다시 짓는 게임이라던데 그거 뭐였지?,"Against the Storm은(는) PC 플랫폼에서 플레이할 수 있는 도시 건설 로그라이크 장르의 게임으로, 2023년에 출시되었습니다. 평점은 메타크리틱 89이며, 리뷰에서는 ""Innovative blend of city-building and roguelike elements."" 라고 평가받았습니다. 추천 이유: 비 오는 숲에서의 반복적 도시 건설이 매력적인 작품입니다."
중독성 쩌는 도시 시뮬 없냐? 계속 하게 되는 거,"Against the Storm은(는) PC 플랫폼에서 플레이할 수 있는 도시 건설 로그라이크 장르의 게임으로, 2023년에 출시되었습니다. 평점은 메타크리틱 90이며, 리뷰에서는 ""Innovative blend of city-building and roguelike elements."" 라고 평가받았습니다. 추천 이유: 비 오는 숲에서의 반복적 도시 건설이 매력적인 작품입니다."
맵 랜덤으로 바뀌는 건설겜 좋아하는데 추천 좀,"Against the Storm은(는) PC 플랫폼에서 플레이할 수 있는 도시 건설 로그라이크 장르의 게임으로, 2023년에 출시되었습니다. 평점은 메타크리틱 91이며, 리뷰에서는 ""Innovative blend of city-building and roguelike elements."" 라고 평가받았습니다. 추천 이유: 비 오는 숲에서의 반복적 도시 건설이 매력적인 작품입니다."
에일리언 나오는 겜 중에 진짜 쫄리는 거 뭐 있냐?,"Alien: Isolation (2014※정식 2015시작) 는 PC, PS4, Xbox One의 1인칭 공포 생존 서바이벌 게임입니다. 2015년 정식 출시되었으며 Metacritic 81점을 획득했습니다. “영화 아일리언의 긴장감을 생생히 재현했다”는 높이 평가되었습니다. 추천 이유: 적은 자원과 적대적 AI가 더해진 극한의 공포 체험입니다."
그 무한 따라오는 외계인 나오는 겜 있잖아 그거 뭐였더라,"Alien: Isolation (2014※정식 2015시작) 는 PC, PS4, Xbox One의 1인칭 공포 생존 서바이벌 게임입니다. 2015년 정식 출시되었으며 Metacritic 82점을 획득했습니다. “영화 아일리언의 긴장감을 생생히 재현했다”는 높이 평가되었습니다. 추천 이유: 적은 자원과 적대적 AI가 더해진 극한의 공포 체험입니다."
총알 부족해서 허구한 날 도망만 다니는 게임 없냐? 개쫄림,"Alien: Isolation (2014※정식 2015시작) 는 PC, PS4, Xbox One의 1인칭 공포 생존 서바이벌 게임입니다. 2015년 정식 출시되었으며 Metacritic 83점을 획득했습니다. “영화 아일리언의 긴장감을 생생히 재현했다”는 높이 평가되었습니다. 추천 이유: 적은 자원과 적대적 AI가 더해진 극한의 공포 체험입니다."
1인칭인데 숨도 못 쉬는 겜 있음? 조명도 존나 어두운 거,"Alien: Isolation (2014※정식 2015시작) 는 PC, PS4, Xbox One의 1인칭 공포 생존 서바이벌 게임입니다. 2015년 정식 출시되었으며 Metacritic 84점을 획득했습니다. “영화 아일리언의 긴장감을 생생히 재현했다”는 높이 평가되었습니다. 추천 이유: 적은 자원과 적대적 AI가 더해진 극한의 공포 체험입니다."
옛날 공포영화 감성 그대로 살린 게임 뭐 있음?,"Alien: Isolation (2014※정식 2015시작) 는 PC, PS4, Xbox One의 1인칭 공포 생존 서바이벌 게임입니다. 2015년 정식 출시되었으며 Metacritic 85점을 획득했습니다. “영화 아일리언의 긴장감을 생생히 재현했다”는 높이 평가되었습니다. 추천 이유: 적은 자원과 적대적 AI가 더해진 극한의 공포 체험입니다."
기억 잃고 깨어나는 식으로 개무서운 겜 뭐 없냐?,"Amnesia: Rebirth은(는) PC, PS4 플랫폼에서 플레이할 수 있는 심리 공포 장르의 게임으로, 2020년에 출시되었습니다. 평점은 Metacritic 75이며, 리뷰에서는 ""Haunting environments and existential themes create a tense experience."" 라고 평가받았습니다. 추천 이유: 기억 상실과 공포의 서사 구조가 뛰어난 심리 호러입니다."
존나 불안하게 만드는 심리공포겜 찾고 있음,"Amnesia: Rebirth은(는) PC, PS4 플랫폼에서 플레이할 수 있는 심리 공포 장르의 게임으로, 2020년에 출시되었습니다. 평점은 Metacritic 76이며, 리뷰에서는 ""Haunting environments and existential themes create a tense experience."" 라고 평가받았습니다. 추천 이유: 기억 상실과 공포의 서사 구조가 뛰어난 심리 호러입니다."
존재가 불안해지는 그런 느낌 주는 게임 뭐더라,"Amnesia: Rebirth은(는) PC, PS4 플랫폼에서 플레이할 수 있는 심리 공포 장르의 게임으로, 2020년에 출시되었습니다. 평점은 Metacritic 77이며, 리뷰에서는 ""Haunting environments and existential themes create a tense experience."" 라고 평가받았습니다. 추천 이유: 기억 상실과 공포의 서사 구조가 뛰어난 심리 호러입니다."
걍 어두운 데서 계속 불안하게 쫓기는 그런 거 하고 싶음,"Amnesia: Rebirth은(는) PC, PS4 플랫폼에서 플레이할 수 있는 심리 공포 장르의 게임으로, 2020년에 출시되었습니다. 평점은 Metacritic 78이며, 리뷰에서는 ""Haunting environments and existential themes create a tense experience."" 라고 평가받았습니다. 추천 이유: 기억 상실과 공포의 서사 구조가 뛰어난 심리 호러입니다."
스토리로 멘탈 터트리는 공포겜 없냐? 현실 회의감 오게,"Amnesia: Rebirth은(는) PC, PS4 플랫폼에서 플레이할 수 있는 심리 공포 장르의 게임으로, 2020년에 출시되었습니다. 평점은 Metacritic 79이며, 리뷰에서는 ""Haunting environments and existential themes create a tense experience."" 라고 평가받았습니다. 추천 이유: 기억 상실과 공포의 서사 구조가 뛰어난 심리 호러입니다."
존나 수상한 분위기에 비밀 존나 많은 겜 뭐 있냐?,"Animal Well은(는) PC, PS5, Switch 플랫폼에서 플레이할 수 있는 메트로배니아 퍼즐 어드벤처 장르의 게임으로, 2024년에 출시되었습니다. 평점은 메타크리틱 90이며, 리뷰에서는 ""Dense, mysterious, and packed with secrets."" 라고 평가받았습니다. 추천 이유: 직관적이면서도 깊이 있는 탐험과 퍼즐이 인상적인 인디 명작입니다."
퍼즐 있는데 답 안보여서 현타오는 그런 겜 찾고 있음,"Animal Well은(는) PC, PS5, Switch 플랫폼에서 플레이할 수 있는 메트로배니아 퍼즐 어드벤처 장르의 게임으로, 2024년에 출시되었습니다. 평점은 메타크리틱 91이며, 리뷰에서는 ""Dense, mysterious, and packed with secrets."" 라고 평가받았습니다. 추천 이유: 직관적이면서도 깊이 있는 탐험과 퍼즐이 인상적인 인디 명작입니다."
혼자 탐험하다가 갑자기 소름 돋는 그런 겜 뭐였지,"Animal Well은(는) PC, PS5, Switch 플랫폼에서 플레이할 수 있는 메트로배니아 퍼즐 어드벤처 장르의 게임으로, 2024년에 출시되었습니다. 평점은 메타크리틱 92이며, 리뷰에서는 ""Dense, mysterious, and packed with secrets."" 라고 평가받았습니다. 추천 이유: 직관적이면서도 깊이 있는 탐험과 퍼즐이 인상적인 인디 명작입니다."
겉보기엔 단순한데 존나 깊은 게임 있음? 인디 쪽으로,"Animal Well은(는) PC, PS5, Switch 플랫폼에서 플레이할 수 있는 메트로배니아 퍼즐 어드벤처 장르의 게임으로, 2024년에 출시되었습니다. 평점은 메타크리틱 93이며, 리뷰에서는 ""Dense, mysterious, and packed with secrets."" 라고 평가받았습니다. 추천 이유: 직관적이면서도 깊이 있는 탐험과 퍼즐이 인상적인 인디 명작입니다."
메트로배니아 퍼즐인데 빡세게 숨은 요소 있는 거 없냐?,"Animal Well은(는) PC, PS5, Switch 플랫폼에서 플레이할 수 있는 메트로배니아 퍼즐 어드벤처 장르의 게임으로, 2024년에 출시되었습니다. 평점은 메타크리틱 94이며, 리뷰에서는 ""Dense, mysterious, and packed with secrets."" 라고 평가받았습니다. 추천 이유: 직관적이면서도 깊이 있는 탐험과 퍼즐이 인상적인 인디 명작입니다."
소울라이크인데 주인공이 게인 게임 진짜임? 제목 기억 안 나는데ㅋㅋ,"Another Crab’s Treasure은(는) PC, 콘솔 플랫폼에서 플레이할 수 있는 소울라이크 크랩 액션 장르의 게임으로, 2024년에 출시되었습니다. 평점은 메타크리틱 79이며, 리뷰에서는 ""Challenging and charmingly crustaceous."" 라고 평가받았습니다. 추천 이유: 갑각류가 주인공인 소울라이크라는 신선한 설정이 특징입니다."
콘솔로 할 수 있는 소울라이크 중에 좀 특이한 설정 있는 거 뭐 있을까,"Another Crab’s Treasure은(는) PC, 콘솔 플랫폼에서 플레이할 수 있는 소울라이크 크랩 액션 장르의 게임으로, 2024년에 출시되었습니다. 평점은 메타크리틱 80이며, 리뷰에서는 ""Challenging and charmingly crustaceous."" 라고 평가받았습니다. 추천 이유: 갑각류가 주인공인 소울라이크라는 신선한 설정이 특징입니다."
메타 점수 70 후반인데도 사람들 반응 괜찮은 크랩 겜 있지 않았냐?,"Another Crab’s Treasure은(는) PC, 콘솔 플랫폼에서 플레이할 수 있는 소울라이크 크랩 액션 장르의 게임으로, 2024년에 출시되었습니다. 평점은 메타크리틱 81이며, 리뷰에서는 ""Challenging and charmingly crustaceous."" 라고 평가받았습니다. 추천 이유: 갑각류가 주인공인 소울라이크라는 신선한 설정이 특징입니다."
"갑각류로 싸우는 겜 나왔다던데, 진짜 소울라이크처럼 빡센가?","Another Crab’s Treasure은(는) PC, 콘솔 플랫폼에서 플레이할 수 있는 소울라이크 크랩 액션 장르의 게임으로, 2024년에 출시되었습니다. 평점은 메타크리틱 82이며, 리뷰에서는 ""Challenging and charmingly crustaceous."" 라고 평가받았습니다. 추천 이유: 갑각류가 주인공인 소울라이크라는 신선한 설정이 특징입니다."
픽셀 아트 쩌는데 턴제 전투까지 되는 RPG 없냐,"Arco은(는) PC, 콘솔 플랫폼에서 플레이할 수 있는 픽셀 아트 턴제 전술 RPG 장르의 게임으로, 2024년에 출시되었습니다. 평점은 출시 예정이며, 리뷰에서는 ""Tactical combat with gorgeous visuals."" 라고 평가받았습니다. 추천 이유: 수려한 도트 그래픽과 전략 전투가 결합된 독립 RPG입니다."
